Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
СумОтч		П000100140004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100140005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100140006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
ЗаемСредств			С				Н					Заемные средства
Пояснения		П000100141001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100141004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100141005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100141006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100141002	А	T	1	255	О					Наименование показателя
Пояснения		П200100141001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100141004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100141005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100141006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОтложНалОбяз			С				Н					Отложенные налоговые обязательства
Пояснения		П000100142001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100142004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100142005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100142006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100142002	А	T	1	255	О					Наименование показателя
Пояснения		П200100142001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100142004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100142005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100142006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОценОбяз			С				Н					Оценочные обязательства
Пояснения		П000100143001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100143004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100143005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100143006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокДолгОб			С				НМ		+			Вписываемые показатели (по долгосрочным обязательствам)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбяз			С				Н					Прочие обязательства
Пояснения		П000100145001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100145004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100145005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100145006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100145002	А	T	1	255	О					Наименование показателя
Пояснения		П200100145001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100145004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100145005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100145006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
КраткосрОбяз			С				Н					Краткосрочные обязательства
Пояснения		П000100150001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100150004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100150005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100150006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
ЗаемСредств			С				Н					Заемные средства
Пояснения		П000100151001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100151004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100151005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100151006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100151002	А	T	1	255	О					Наименование показателя
Пояснения		П200100151001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100151004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100151005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100151006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
КредитЗадолж			С				Н					Кредиторская задолженность
Пояснения		П000100152001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100152004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100152005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100152006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100152002	А	T	1	255	О					Наименование показателя
Пояснения		П200100152001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100152004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100152005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100152006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДоходБудущ			С				Н					Доходы будущих периодов
Пояснения		П000100153001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100153004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100153005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100153006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100153002	А	T	1	255	О					Наименование показателя
Пояснения		П200100153001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100153004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100153005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100153006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОценОбяз			С				Н					Оценочные обязательства
Пояснения		П000100154001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100154004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100154005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100154006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокКратОб			С				НМ		+			Вписываемые показатели (по краткосрочным обязательствам)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбяз			С				Н					Прочие обязательства
Пояснения		П000100155001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100155004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100155005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100155006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100155002	А	T	1	255	О					Наименование показателя
Пояснения		П200100155001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100155004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100155005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100155006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрибУб	ФормаОтчета		С				О					Отчет о прибылях и убытках
ОКУД			А	T	7	7	О				0710002	Код формы по ОКУД
Выруч			С				Н					Выручка
Пояснения		П000100211001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100211004	А	N		12	О					За отчетный период
СумПред		П000100211005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100211002	А	T	1	255	О					Наименование показателя
Пояснения		П200100211001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100211004	А	N		12	О					За отчетный период
СумПред		П200100211005	А	N		12	Н					За аналогичный период предыдущего года
СебестПрод			С				Н					Себестоимость продаж
Пояснения		П000100212001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100212004	А	N		12	О					За отчетный период
СумПред		П000100212005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100212002	А	T	1	255	О					Наименование показателя
Пояснения		П200100212001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100212004	А	N		12	О					За отчетный период
СумПред		П200100212005	А	N		12	Н					За аналогичный период предыдущего года
ВаловаяПрибыль			С				Н					Валовая прибыль (убыток)
Пояснения		П000100210001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100210004	А	N		12	О					За отчетный период
СумПред		П000100210005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100210002	А	T	1	255	О					Наименование показателя
Пояснения		П200100210001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100210004	А	N		12	О					За отчетный период
СумПред		П200100210005	А	N		12	Н					За аналогичный период предыдущего года
КомРасход			С				Н					Коммерческие расходы
Пояснения		П000100221001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100221004	А	N		12	О					За отчетный период
СумПред		П000100221005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100221002	А	T	1	255	О					Наименование показателя
Пояснения		П200100221001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100221004	А	N		12	О					За отчетный период
СумПред		П200100221005	А	N		12	Н					За аналогичный период предыдущего года
УпрРасход			С				Н					Управленческие расходы
Пояснения		П000100222001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100222004	А	N		12	О					За отчетный период
СумПред		П000100222005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100222002	А	T	1	255	О					Наименование показателя
Пояснения		П200100222001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100222004	А	N		12	О					За отчетный период
СумПред		П200100222005	А	N		12	Н					За аналогичный период предыдущего года
ПрибПрод			С				Н					Прибыль (убыток) от продаж
Пояснения		П000100220001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100220004	А	N		12	О					За отчетный период
СумПред		П000100220005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100220002	А	T	1	255	О					Наименование показателя
Пояснения		П200100220001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100220004	А	N		12	О					За отчетный период
СумПред		П200100220005	А	N		12	Н					За аналогичный период предыдущего года
ДоходОтУчаст			С				Н					Доходы от участия в других организациях
Пояснения		П000100231001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100231004	А	N		12	О					За отчетный период
СумПред		П000100231005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100231002	А	T	1	255	О					Наименование показателя
Пояснения		П200100231001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100231004	А	N		12	О					За отчетный период
СумПред		П200100231005	А	N		12	Н					За аналогичный период предыдущего года
ПроцПолуч			С				Н					Проценты к получению
Пояснения		П000100232001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100232004	А	N		12	О					За отчетный период
СумПред		П000100232005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100232002	А	T	1	255	О					Наименование показателя
Пояснения		П200100232001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100232004	А	N		12	О					За отчетный период
СумПред		П200100232005	А	N		12	Н					За аналогичный период предыдущего года
ПроцУпл			С				Н					Проценты к уплате
Пояснения		П000100233001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100233004	А	N		12	О					За отчетный период
СумПред		П000100233005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100233002	А	T	1	255	О					Наименование показателя
Пояснения		П200100233001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100233004	А	N		12	О					За отчетный период
СумПред		П200100233005	А	N		12	Н					За аналогичный период предыдущего года
ПрочДоход			С				Н					Прочие доходы
Пояснения		П000100234001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100234004	А	N		12	О					За отчетный период
СумПред		П000100234005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100234002	А	T	1	255	О					Наименование показателя
Пояснения		П200100234001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100234004	А	N		12	О					За отчетный период
СумПред		П200100234005	А	N		12	Н					За аналогичный период предыдущего года
ПрочРасход			С				Н					Прочие расходы
Пояснения		П000100235001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100235004	А	N		12	О					За отчетный период
СумПред		П000100235005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100235002	А	T	1	255	О					Наименование показателя
Пояснения		П200100235001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100235004	А	N		12	О					За отчетный период
СумПред		П200100235005	А	N		12	Н					За аналогичный период предыдущего года
ПрибУбДоНал			С				Н					Прибыль (убыток) до налогообложения
Пояснения		П000100230001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100230004	А	N		12	О					За отчетный период
СумПред		П000100230005	А	N		12	О					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100230002	А	T	1	255	О					Наименование показателя
Пояснения		П200100230001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100230004	А	N		12	О					За отчетный период
СумПред		П200100230005	А	N		12	Н					За аналогичный период предыдущего года
ТекНалПриб			С				Н					Текущий налог на прибыль
Пояснения		П000100241001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100241004	А	N		12	О					За отчетный период
СумПред		П000100241005	А	N		12	Н					За аналогичный период предыдущего года
ПостНалОбяз			С				Н					В том числе постоянные налоговые обязательства (активы)
Пояснения		П000100242101	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100242104	А	N		12	О					За отчетный период
СумПред		П000100242105	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100242102	А	T	1	255	О					Наименование показателя
Пояснения		П200100242101	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100242104	А	N		12	О					За отчетный период
СумПред		П200100242105	А	N		12	Н					За аналогичный период предыдущего года
ИзмНалОбяз			С				Н					Изменение отложенных налоговых обязательств
Пояснения		П000100243001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100243004	А	N		12	О					За отчетный период
СумПред		П000100243005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100243002	А	T	1	255	О					Наименование показателя
Пояснения		П200100243001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100243004	А	N		12	О					За отчетный период
СумПред		П200100243005	А	N		12	Н					За аналогичный период предыдущего года
ИзмНалАктив			С				Н					Изменение отложенных налоговых активов
Пояснения		П000100245001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100245004	А	N		12	О					За отчетный период
СумПред		П000100245005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100245002	А	T	1	255	О					Наименование показателя
Пояснения		П200100245001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100245004	А	N		12	О					За отчетный период
СумПред		П200100245005	А	N		12	Н					За аналогичный период предыдущего года
Прочее			С				Н					Прочее
Пояснения		П000100246001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100246004	А	N		12	О					За отчетный период
СумПред		П000100246005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100246002	А	T	1	255	О					Наименование показателя
Пояснения		П200100246001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100246004	А	N		12	О					За отчетный период
СумПред		П200100246005	А	N		12	Н					За аналогичный период предыдущего года
ЧистПрибУб			С				Н					Чистая прибыль (убыток)
Пояснения		П000100240001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100240004	А	N		12	О					За отчетный период
СумПред		П000100240005	А	N		12	О					За аналогичный период предыдущего года
Справочно			С				Н					Справочно
РезПрцВОАНеЧист			С				Н					Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода
Пояснения		П000100251001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100251004	А	N		12	О					За отчетный период
СумПред		П000100251005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок		П200100251002	А	T	1	255	О					Наименование показателя
Пояснения		П200100251001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100251004	А	N		12	О					За отчетный период
СумПред		П200100251005	А	N		12	Н					За аналогичный период предыдущего года
РезПрОпНеЧист			С				Н					Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода
Пояснения		П000100252001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100252004	А	N		12	О					За отчетный период
СумПред		П000100252005	А	N		12	Н					За аналогичный период предыдущего года
ДопПокОП			С				НМ		+			В том числе дополнительные вписываемые показатели  по отчетному периоду и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					За отчетный период
СумПред			А	N		12	Н					За аналогичный период предыдущего года
СовФинРез			С				Н					Совокупный финансовый результат периода
Пояснения		П000100250001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100250004	А	N		12	О					За отчетный период
СумПред		П000100250005	А	N		12	Н					За аналогичный период предыдущего года
БазПрибылАкц			С				Н					Базовая прибыль (убыток) на акцию
Пояснения		П000100290001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100290004	А	N		12	О					За отчетный период
СумПред		П000100290005	А	N		12	Н					За аналогичный период предыдущего года
РазводПрибылАкц			С				Н					Разводненная прибыль (убыток) на акцию
Пояснения		П000100291001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100291004	А	N		12	О					За отчетный период
СумПред		П000100291005	А	N		12	Н					За аналогичный период предыдущего года
ОтчетИзмКап	ОИК		С				О			&ВключитьОИК		Отчет об изменениях капитала
ОКУД			А	T	7	7	О				0710003	Код формы по ОКУД
ДвиженКап			С				Н					Движение капитала
Кап31ДекПред			С				О					Величина капитала на 31 декабря года, предшествующего предыдущему
УстКапитал		П000100310003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100310004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100310005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100310006	А	N		12	Н					Резервный капитал
НераспПриб		П000100310007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100310008	А	N		12	О					Итого
ПредГод			С				О					Предыдущий год
УвеличКапитал			С				Н					Увеличение капитала
УвеличКапВс			С				Н					Увеличение капитала - всего
УстКапитал		П000100321003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100321004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100321005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100321006	А	N		12	Н					Резервный капитал
НераспПриб		П000100321007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100321008	А	N		12	О					Итого
ЧистПриб			С				Н					Чистая прибыль
НераспПриб		П000100321107	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100321108	А	N		12	О					Итого
ПереоцИмущ			С				Н					Переоценка имущества
ДобКапитал		П000100321205	А	N		12	Н					Добавочный капитал
НераспПриб		П000100321207	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100321208	А	N		12	О					Итого
ДохУвелКап			С				Н					Доходы, относящиеся непосредственно на увеличение капитала
ДобКапитал		П000100321305	А	N		12	Н					Добавочный капитал
НераспПриб		П000100321307	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100321308	А	N		12	О					Итого
ДопВыпАкций			С				Н					Дополнительный выпуск акций
УстКапитал		П000100321403	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100321404	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100321405	А	N		12	Н					Добавочный капитал
Итог		П000100321408	А	N		12	О					Итого
УвеличНомАкц			С				Н					Увеличение номинальной стоимости акций
УстКапитал		П000100321503	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100321504	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100321505	А	N		12	Н					Добавочный капитал
НераспПриб		П000100321507	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Реорганизация			С				Н					Реорганизация юридического лица
УстКапитал		П000100321603	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100321604	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100321605	А	N		12	Н					Добавочный капитал
РезКапитал		П000100321606	А	N		12	Н					Резервный капитал
НераспПриб		П000100321607	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100321608	А	N		12	О					Итого
ВПокУвелКап			С				НМ					Вписываемые показатели (по увеличению капитала)
НаимПок			А	T	1	255	О					Наименование показателя
УстКапитал			А	N		12	О					Уставный капитал
СобВыкупАкц			А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал			А	N		12	Н					Добавочный капитал
РезКапитал			А	N		12	Н					Резервный капитал
НераспПриб			А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог			А	N		12	О					Итого
УменКапитал			С				Н					Уменьшение капитала
УменКапВс			С				Н					Уменьшение капитала - всего
УстКапитал		П000100322003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100322004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100322005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100322006	А	N		12	Н					Резервный капитал
НераспПриб		П000100322007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322008	А	N		12	О					Итого
Убыток			С				Н					Убыток
НераспПриб		П000100322107	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322108	А	N		12	О					Итого
ПереоцИмущ			С				Н					Переоценка имущества
ДобКапитал		П000100322205	А	N		12	Н					Добавочный капитал
НераспПриб		П000100322207	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322208	А	N		12	О					Итого
РасхУменКап			С				Н					Расходы, относящиеся непосредственно на уменьшение капитала
ДобКапитал		П000100322305	А	N		12	Н					Добавочный капитал
НераспПриб		П000100322307	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322308	А	N		12	О					Итого
УменНомАкц			С				Н					Уменьшение номинальной стоимости акций
УстКапитал		П000100322403	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100322404	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100322405	А	N		12	Н					Добавочный капитал
НераспПриб		П000100322407	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322408	А	N		12	О					Итого
УменКолАкций			С				Н					Уменьшение количества акций
УстКапитал		П000100322503	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100322504	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100322505	А	N		12	Н					Добавочный капитал
НераспПриб		П000100322507	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322508	А	N		12	О					Итого
Реорганизация			С				Н					Реорганизация юридического лица
УстКапитал		П000100322603	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100322604	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100322605	А	N		12	Н					Добавочный капитал
РезКапитал		П000100322606	А	N		12	Н					Резервный капитал
НераспПриб		П000100322607	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322608	А	N		12	О					Итого
Дивиденды			С				Н					Дивиденды
НераспПриб		П000100322707	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100322708	А	N		12	О					Итого
ИзмДобавКап			С				Н					Изменение добавочного капитала
ДобКапитал		П000100323005	А	N		12	Н					Добавочный капитал
